LabelName;LabelNumber;LED_394_SEN_AVG;LED_445_SEN_AVG;LED_490_SEN_AVG;LED_558_SEN_AVG;LED_592_SEN_AVG;LED_640_SEN_AVG;LED_700_SEN_AVG;LED_750_SEN_AVG;LED_800_SEN_AVG;LED_849_SEN_AVG;LED_890_SEN_AVG;LED_950_SEN_AVG
data#2025-2-20_11-57-59_dataFiles#S0013_20250220_000623_41_3923af63-68d5-430a-a239-5077cb3837d8_R0003;39;-9.9274999999999984368;0;0.079796385958844875952;-4.702316602316602534;0.047195936543278596553;0.096156310057655347556;-0.029336966394187102142;0.17487886129618410158;0.13361049120533677326;0.13260492338460633244;0.049000810153929243163;0.18330812445980984582
data#2025-2-20_11-57-59_dataFiles#S0014_20250220_001110_48_0c00cf72-5f2e-49fd-9777-19a0d6fd99a6_R0001;40;-14.582499999999999574;0;0.10961222548850077518;-4.2279279279279275983;0.095317283607013636448;0.17876727372563375185;0.079382379654859211437;0.33579648697758929243;0.21613394763995871783;0.20770859680597628105;0.13314879827167161452;0.29702895419187552717
data#2025-2-20_11-57-59_dataFiles#S0014_20250220_001110_48_0c00cf72-5f2e-49fd-9777-19a0d6fd99a6_R0002;41;-20.852499999999999147;0;0.14653294137990660606;-4.7157657657657656713;0.095713888115780673682;0.15578017754186876398;0.093475628216772632673;0.40449727437916410677;0.30380942096801283325;0.28186229816770091983;0.25937078044828515422;0.35204191875540186141
data#2025-2-20_11-57-59_dataFiles#S0014_20250220_001110_48_0c00cf72-5f2e-49fd-9777-19a0d6fd99a6_R0003;42;-14.487499999999998934;0;0.12723067611966104584;-4.8331402831402829889;0.090293626495964368628;0.1511549373112473782;0.06528913109294580408;0.37212295578437309951;0.3067957670434093842;0.31748625040439987233;0.31555495544153389087;0.33007778738115817196
data#2025-2-20_11-57-59_dataFiles#S0015_20250220_001223_24_0b2dc0c0-bc91-4ea6-9551-6db71f34dab3_R0001;43;-18.335000000000000853;0;0.11532076776759467296;-3.9332689832689826659;0.10483579181742276598;0.1400787041273908462;0.12827732364517105412;0.48051181102362205966;0.52012574088738516842;0.51225846298638266774;0.4084256008641641289;0.46945764909248055563
data#2025-2-20_11-57-59_dataFiles#S0015_20250220_001223_24_0b2dc0c0-bc91-4ea6-9551-6db71f34dab3_R0002;44;-21.375;0;0.1209882413971986731;-3.3341698841698836908;0.12479821875869745451;0.15515420517982977944;0.19788071450196792478;0.48373712901271959108;0.51823362848846976636;0.51292903149907353999;0.47102349446394814469;0.51092264477095938879
data#2025-2-20_11-57-59_dataFiles#S0015_20250220_001223_24_0b2dc0c0-bc91-4ea6-9551-6db71f34dab3_R0003;45;-20.567499999999999005;0;0.12382197821200069399;-3.5542471042471039944;0.12255079320901753059;0.15238949391415759771;0.16681804420224038976;0.47483343428225316396;0.51221534326782336422;0.50541307608599739254;0.43202808533621384068;0.4749999999999999778
data#2025-2-20_11-57-59_dataFiles#S0016_20250220_001346_71_f297b230-b95e-466c-a896-2445e9ac7730_R0001;46;-12.539999999999999147;0;0.10328765346705860717;-4.3440797940797937216;0.090954634010576115855;0.12802873615814039376;0.12482591583409022307;0.40154451847365230099;0.3393036258488709711;0.34162671686126877546;0.35685930326762083098;0.38673292999135694403
data#2025-2-20_11-57-59_dataFiles#S0016_20250220_001346_71_f297b230-b95e-466c-a896-2445e9ac7730_R0002;47;-18.335000000000000853;0;0.12714853882068130608;-4.1350064350064350549;0.09478847759532423034;0.12656813398004940208;0.067014834998486219608;0.25093882495457298099;0.16388428958798262336;0.1665803946942737146;0.12057790980286253735;0.28697061365600690097
data#2025-2-20_11-57-59_dataFiles#S0016_20250220_001346_71_f297b230-b95e-466c-a896-2445e9ac7730_R0003;48;-9.1199999999999992184;0;0.082219436278748045388;-5.0336550836550832955;0.069934595045922615109;0.097721240962752808912;-0.014093248561913410827;0.18753785584494242489;0.1394464041465697246;0.13741066439222376916;0.040021604104779909261;0.16339671564390664815
data#2025-2-20_11-57-59_dataFiles#S0017_20250220_001512_53_bd716a7d-4e54-4fae-97b3-68bc121a6691_R0001;49;-34.342499999999994031;0;0.078975012969047200806;-1.9012226512226511055;0.082890342332312821894;0.087305756383270802234;0.3672873145625188962;0.46561175045427011243;0.51299042545533080073;0.510833504896914814;0.60365919524709688027;0.5289866032843560939
data#2025-2-20_11-57-59_dataFiles#S0017_20250220_001512_53_bd716a7d-4e54-4fae-97b3-68bc121a6691_R0002;50;-18.857500000000001705;0;0.1222203008818951997;-1.7740669240669237894;0.12334400222655163282;0.14315640157408254796;0.17573418104753252278;0.38349485160508778314;0.27834569145489884701;0.28778565336313638445;0.37917904401836349804;0.40356525496974937628
