"sample";"ARI1";"ARI2";"CI";"CRI1";"CRI2";"Datt6";"DWSI4";"GI";"GM1";"GM2";"LIC1";"NDI";"NDVI";"NDVI4";"NDVIg";"PSNDa1";"PSNDc1";"PSSRa1";"PSSRc1";"RDVI";"RGI";"RGR";"RVI";"RVI2";"SAVI";"SIPI1";"SR.550.800.";"SR.556.750.";"SR.605.670.";"SR.555.675.";"SR.683.510.";"SR.694.840.";"SR.695.800.";"SR.750.705.";"SR.752.690.";"SR.800.600.";"SR.800.960.";"SR.810.560.";"WBI3"
76;10.2476785010234;3.01203691897991;-3.35207381480143;11.3276393289078;21.5753178299312;2.16838585054296;18.1849998982717;18.1849998982717;-0.184331802779939;-3.35207381480143;1.91436588655603;1.91436588655603;0.538729852506782;1.91436588655603;-1.4519774177985;1.91436588655603;0.518558587084487;-3.18730819839859;3.15419186290685;0.8597759775004;0.0549903769917008;18.1849998982717;-3.18730819839859;-1.01049915063227;0.825431785531482;6858.64757555113;-5.70544132111492;-5.42499983680965;-0.949203529483304;18.1849998982717;-0.989609936212513;-0.275004242203668;-0.313744369152137;-3.35207381480143;-3.35207381480143;3.35787647158622;0.587809450285877;-0.175271279418677;1.03248194994211
77;10.2942702629451;2.14967095918676;-2.77762433509943;12.044195224979;22.3384654879241;1.64259714994363;16.6828923441838;16.6828923441838;-0.16649537009497;-2.77762433509943;2.5543130963771;2.5543130963771;0.325928697933347;2.5543130963771;-1.39950676726041;2.5543130963771;0.407937694699299;-2.28674203714923;2.37802285687521;0.875587390901675;0.0599416443725138;16.6828923441838;-2.28674203714923;-0.961614826593413;0.729082569484436;7183.83088648722;-7.29548504954304;-6.00617302108516;-0.982315189997344;16.6828923441838;-1.03991741011582;-0.39961183298532;-0.4373033703647;-2.77762433509943;-2.77762433509943;2.32791069550234;0.484653124401627;-0.137071077962477;1.11771511951991
78;9.00913844084361;2.26505063433832;-2.55984721827461;10.4963762013263;19.5055146421699;1.82736280893575;15.0381058004183;15.0381058004183;-0.170224046315953;-2.55984721827461;2.40213045744653;2.40213045744653;0.500480605680934;2.40213045744653;-1.41028917639802;2.40213045744653;0.424893597081323;-2.42640079557381;2.47761734150404;0.923492628843122;0.0664977367011333;15.0381058004183;-2.42640079557381;-0.979328306646764;0.822092644856131;6290.02642210426;-6.19770065516401;-5.87461067717717;-0.918644102402216;15.0381058004183;-1.02110803212052;-0.351196329013938;-0.412133066319538;-2.55984721827461;-2.55984721827461;2.64128489937384;0.52736801495435;-0.161350161235488;1.02849747497289
79;6.98040341794931;0.807527198238263;-1.31357576084239;9.74583690200123;16.7262403199505;0.431119605829029;15.3371699335171;15.3371699335171;-0.0856465545166692;-1.31357576084239;-13.6898130855263;-13.6898130855263;0.000717229872117223;-13.6898130855263;-1.1873379598223;-13.6898130855263;0.0343398571024389;-0.863851228851198;1.07112203471378;NA;0.0652010771436163;15.3371699335171;-0.863851228851198;-0.80649188500919;0.777146474591869;8736.67750843041;-17.7544112010044;-11.6758929257962;-0.716517881079969;15.3371699335171;-1.23993808070196;-1.12932597226584;-1.15760673435617;-1.31357576084239;-1.31357576084239;1.20562410466179;0.564514886885823;-0.0563240306129347;2.23907516534819
80;6.02669056626251;1.72740849818736;-1.87641468516674;13.5983459281122;19.6250364943747;0.786224613309838;13.5117952495194;13.5117952495194;-0.138872344534193;-1.87641468516674;3.31088070195557;3.31088070195557;0.558556084912109;3.31088070195557;-1.32253602274351;3.31088070195557;0.57979505546183;-1.86547089960443;3.7595822609801;1.20735116957407;0.0740094104101797;13.5117952495194;-1.86547089960443;-0.496191004773523;1.04334094454289;4309.9911400914;-7.2431015956264;-7.20085776152341;-0.328132508219565;13.5117952495194;-2.01535293945208;-0.612650270167811;-0.536057678633341;-1.87641468516674;-1.87641468516674;5.68511455852516;0.941321259711774;-0.138062401417071;1.34248253299457
81;5.84476388991454;2.0237178607917;-1.77325333069951;12.333314132723;18.1780780226375;0.928757981463976;13.1825501682831;13.1825501682831;-0.134515196836945;-1.77325333069951;2.68090678763324;2.68090678763324;0.580130969328332;2.68090678763324;-1.31084357887126;2.68090678763324;0.608167908455133;-2.18983397218358;4.10422715024348;1.16281546383389;0.0758578565781585;13.1825501682831;-2.18983397218358;-0.533555744363143;1.09941237018438;4373.26513947352;-6.01988567888468;-7.43410427605563;-0.331125058899531;13.1825501682831;-1.87421841216162;-0.516566459610993;-0.456655624445745;-1.77325333069951;-1.77325333069951;6.61331395292561;1.19342494854095;-0.166116111391881;0.984222773988519
82;-16.0926189437052;-6.56779976615479;7.11740918578453;6.772174693723;-9.32044424998222;17.504243767424;7.44734853535733;7.44734853535733;0.955697071513926;7.11740918578453;0.767075737528537;0.767075737528537;0.563781968483368;0.767075737528537;-0.0226532672832496;0.767075737528537;0.581815317974225;7.58648205549233;3.78257594302971;0.521341443669305;0.134275976913442;7.44734853535733;7.58648205549233;2.00563905913699;0.552532670755518;8258.03433538102;0.981660337542844;1.04635666447726;2.28141957488621;7.44734853535733;0.498594198913483;0.14259432009017;0.131813400820745;7.11740918578453;7.11740918578453;3.32533398897952;0.855000330689719;1.01868228933753;0.991559573085711
83;11.1070155609671;4.33556527188989;-4.43220310776506;10.3488889649847;21.4559045259518;2.34617958233753;21.5728238051293;21.5728238051293;-0.205453080588886;-4.43220310776506;1.5639668670137;1.5639668670137;0.549613111461492;1.5639668670137;-1.51715783063172;1.5639668670137;0.58582632917107;-4.54630762369135;3.82889217945019;0.8629994441256;0.046354617690904;21.5728238051293;-4.54630762369135;-1.18736893352379;0.887905568065702;5645.03702106925;-4.74513068423059;-4.86729134035723;-1.12272638245777;21.5728238051293;-0.842198218065443;-0.230113566045819;-0.219958718760887;-4.43220310776506;-4.43220310776506;4.04934603366048;0.915791803313106;-0.210742351801454;1.05013760234559
84;8.70915140663796;3.57295875014849;-3.46118215412509;10.908355265731;19.617506672369;1.80408148942436;18.3043451262218;18.3043451262218;-0.189090739398636;-3.46118215412509;1.71957036805796;1.71957036805796;0.608198107193789;1.71957036805796;-1.46636719688811;1.71957036805796;0.62040058408669;-3.7794362980757;4.26871200575489;0.944519396644686;0.0546318370367404;18.3043451262218;-3.7794362980757;-0.885380951673581;0.970685900002848;5396.51117018085;-4.84314159112601;-5.28846628438967;-0.787342783688831;18.3043451262218;-1.12945732355068;-0.27897450902472;-0.264589722152256;-3.46118215412509;-3.46118215412509;4.80024250729577;0.973758609359444;-0.206477547927213;1.06403840203372
85;-19.9266735090142;-5.33882478830984;6.0316033494628;10.3501461279966;-9.57652738101759;-2.80663055260194;-30.9638805646554;-30.9638805646554;-0.194794813811152;6.0316033494628;0.675945323417507;0.675945323417507;0.456637741292117;0.675945323417507;-1.48383894478659;0.675945323417507;0.445372048186973;5.17179798511833;2.60602092531072;0.382210025099453;-0.0322956936199231;-30.9638805646554;5.17179798511833;1.98455735135806;0.395470357449354;11538.139242787;-5.98706303953729;-5.13360689863884;1.6616039516203;-30.9638805646554;0.503890703544387;0.222121223654968;0.193356353608062;6.0316033494628;6.0316033494628;3.11253351322082;0.709328741977999;-0.167026803191517;1.59340417884075
