"sample";"ARI1";"ARI2";"CI";"CRI1";"CRI2";"Datt6";"DWSI4";"GI";"GM1";"GM2";"LIC1";"NDI";"NDVI";"NDVI4";"NDVIg";"NDWI";"PSNDa1";"PSNDc1";"PSSRa1";"PSSRc1";"RDVI";"RGI";"RGR";"RVI";"RVI2";"SAVI";"SIPI1";"SR.550.800.";"SR.556.750.";"SR.605.670.";"SR.555.675.";"SR.683.510.";"SR.694.840.";"SR.695.800.";"SR.750.705.";"SR.752.690.";"SR.800.600.";"SR.800.960.";"SR.810.560.";"WBI3"
14;13.2847634014847;7.47527744453751;-0.169590117414686;8.35055353883705;21.6353169403217;4.07212529722432;27.167787638042;-3.50057744775265;-0.217042700957347;-5.89657000799626;1.29581665262676;1.29581665262676;0.907991964190624;1.29581665262676;-1.55441772168861;1.79981525939037;1.29581665262676;0.63052951498543;-7.76094459943562;4.41315228446768;0.907249421116804;0.0368082971393569;-5.81431103519666;-7.76094459943562;-1.75859433329565;0.962236120656617;5873.7908645422;-3.50057744775265;-4.6073882954328;-1.74407224540407;27.167787638042;-15.4485813605057;-0.124671069441858;-0.128850294856211;-5.89657000799626;-5.89657000799626;4.44989857495127;0.98436081203986;-0.285667154898114;0.86121277674058
15;11.8757269387017;6.79159457460974;-0.190308482509593;9.84057631155159;21.7163032502533;3.42805716380013;26.3076329626016;-3.72631680006545;-0.199737716114575;-5.25462652433054;1.3300353950358;1.3300353950358;0.925554534292768;1.3300353950358;-1.49918063149199;1.73359046166315;1.3300353950358;0.685502613707905;-7.05995608374992;5.35935332747874;0.931864381382925;0.0380117816536965;-6.54113376974349;-7.05995608374992;-1.31731491699787;0.988349608011585;-14509.0682780808;-3.72631680006545;-5.00656570753205;-1.53482612263115;26.3076329626016;-19.9706483416707;-0.13688650042497;-0.141643940576589;-5.25462652433054;-5.25462652433054;4.59984097198388;1.02746091763649;-0.268361509140188;0.890793757846676
16;5.57063286758223;0.906327644181846;-0.902868370038205;13.7983518055978;19.3689846731801;0.469464673319286;12.9658245041692;-13.20253727334;-0.0854231185524587;-1.10758116375002;-110.549007851091;-110.549007851091;1.3687970673249;-110.549007851091;-1.18680358160214;1.16390033934742;-110.549007851091;0.368928568932441;-0.9820706607927;2.16921334343511;NA;0.0771258318110387;-23.9946069333666;-0.9820706607927;-0.452731246451545;0.990982569140338;-15210.4969129913;-13.20253727334;-11.7064328362807;-0.487594512942518;12.9658245041692;-28.6391200205284;-0.991651311435977;-1.01825666922259;-1.10758116375002;-1.10758116375002;2.01411343795921;0.462468494604251;-0.0757430166108534;0.713554059512597
17;7.67898540985414;3.49236594316928;-0.367569138533486;10.1567324760413;17.8357178858954;1.88128221955148;17.0264974418468;-4.58900862700056;-0.159784865734948;-2.72057660768193;1.73793169912608;1.73793169912608;1.08905484216497;1.73793169912608;-1.38034274608661;1.55725694971969;1.73793169912608;0.6297202455122;-3.71027793272543;4.40132150289059;1.00171539533845;0.0587319854488836;-9.92271096859178;-3.71027793272543;-0.842991799233182;1.04066295557586;-4231.35886430538;-4.58900862700056;-6.25841499694222;-0.728885625520137;17.0264974418468;-20.197702346968;-0.254689636148715;-0.269521587905798;-2.72057660768193;-2.72057660768193;5.09034312492821;0.862839186985105;-0.217911989556144;0.924945818619102
18;8.15223523475209;3.95904033661671;-0.334324609396013;11.513339262562;19.6655744973141;2.45357812533626;16.2361088822558;-3.8484348697685;-0.184225480958835;-2.99110496773357;1.62133292592122;1.62133292592122;1.02320896006254;1.62133292592122;-1.45165784578652;1.70213997912564;1.62133292592122;0.684117909283091;-4.21888623081529;5.33147639190593;0.986921751474794;0.061591111962355;-7.96562223910182;-4.21888623081529;-0.791316686166005;1.03514634217842;1377.68439317937;-3.8484348697685;-5.42813076017129;-0.803955779598415;16.2361088822558;-20.5178396539583;-0.218073424812874;-0.237029382943743;-2.99110496773357;-2.99110496773357;5.24765955774666;0.940234258615542;-0.259845894198582;0.98332795124589
19;11.1111620411395;5.94110249014186;-0.227339447394802;8.90303198858412;20.0141940297236;3.52857811774879;21.7497193519852;-3.49257050966811;-0.202242089028463;-4.39870867752827;1.38259758298874;1.38259758298874;0.901947292304364;1.38259758298874;-1.50702621997735;1.8023845232231;1.38259758298874;0.634643165137763;-6.22742455500263;4.47410041132562;0.926273467906422;0.0459776047597011;-6.17337292798915;-6.22742455500263;-1.39188305636563;0.981031943907916;16471.2131120331;-3.49257050966811;-4.94456917847236;-1.37010928146643;21.7497193519852;-15.6261111538898;-0.151756575426196;-0.160580026488908;-4.39870867752827;-4.39870867752827;4.5452028091784;1.11863600827422;-0.286322064860768;0.948815571218023
20;9.76162755660752;5.36143205648227;-0.254217957807536;9.84110318592043;19.6027307425279;3.23888439199447;18.9620261607838;-3.35022918719388;-0.207447895302561;-3.9336324177267;1.42919200049314;1.42919200049314;0.920119928973895;1.42919200049314;-1.52349339323692;1.85098083663405;1.42919200049314;0.672485284842097;-5.65991909845016;5.10659584878729;0.961067607897759;0.0527369802952885;-6.18096401710118;-5.65991909845016;-1.10835461940742;1.01808070036735;8821.45459670542;-3.35022918719388;-4.82048756648752;-1.22340182393429;18.9620261607838;-17.1082664598103;-0.167792081800224;-0.176680970629744;-3.9336324177267;-3.9336324177267;4.62637784881555;1.21307480785542;-0.298487041967893;0.959899226384172
21;11.4228188196332;6.13370867369709;-0.212412142460941;8.21900775794012;19.6418265775733;3.99163223284677;20.7753427991452;-3.22404337264124;-0.226606551684318;-4.70782879177392;1.3673851484492;1.3673851484492;0.910588298216094;1.3673851484492;-1.58600587366709;1.89926303803367;1.3673851484492;0.608088226726903;-6.44387819824067;4.10318938187737;0.920971784985792;0.0481339831389519;-5.50840305369392;-6.44387819824067;-1.57045595475107;0.975683108295424;38823.7329568079;-3.22404337264124;-4.41293507432691;-1.2597886187041;20.7753427991452;-13.2288605333336;-0.144710067753202;-0.155186049337963;-4.70782879177392;-4.70782879177392;5.11504716153829;1.12840640928599;-0.310169524543576;1.03423602149358
22;7.29768538212758;2.65868382461206;-0.429721320763968;12.1571039137279;19.4547892958554;1.31736070531745;13.9650920904422;-4.87650768038729;-0.166636177309313;-2.32708956172381;2.0731060988975;2.0731060988975;0.859361692058467;2.0731060988975;-1.39991219386341;1.515928295491;2.0731060988975;0.617151348769264;-2.86374860981108;4.22399646327769;1.00945863753251;0.071607118200417;-7.32822703561739;-2.86374860981108;-0.677971355967684;1.00027540229376;11542.1811285251;-4.87650768038729;-6.00109781769525;-1.04663321411798;13.9650920904422;-20.5983511951024;-0.427272385334597;-0.349192661874734;-2.32708956172381;-2.32708956172381;2.73615300105341;1.7650809559522;-0.205064785199022;0.515281962508842
23;6.96381831345383;2.97225620879561;-0.460970937562563;10.759404520435;17.7232228338888;2.07972556190741;11.3784717870548;-3.49178235588925;-0.190652505633493;-2.169334156482;1.88548747516059;1.88548747516059;0.975706641299034;1.88548747516059;-1.47112644929536;1.80263831842017;1.88548747516059;0.623059658947161;-3.25864290134345;4.3058794248813;1.02553021034999;0.087885264270523;-7.12521334536716;-3.25864290134345;-0.756789166578504;1.05133583325009;18451.9382339617;-3.49178235588925;-5.24514480770781;-1.08872785608701;11.3784717870548;-15.0351938023871;-0.322632410548535;-0.306876215122476;-2.169334156482;-2.169334156482;2.99307387344282;1.62449393132522;-0.286386692547833;0.575510916931757
